,Country,ISO3,region_remastered,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_national_total,post_density_national_land,post_density_total_max,post_density_total_min,post_density_total_mean,post_density_total_median,post_density_total_var
0,Algeria,DZA,Northern Africa,Africa,3,1008.4053050593086,997.7459999999999,208,0.206266269084896,0.20846989113461745,25.05972271970066,0.0007788526362481544,1.428574536592554,0.06121025643330749,23.128372893796573
1,American Samoa,ASM,Oceania,Oceania,1,43.4121884274241,23.501,118,2.7181306511942096,5.021062933492192,2.7181306511942096,2.7181306511942096,2.7181306511942096,2.7181306511942096,
2,Argentina,ARG,Latin America and the Caribbean,Latin America and the Caribbean,31,28554.726116429334,28541.108,25028,0.8764923851116826,0.8769105950616913,44779.2081463666,0.000222080702511911,126.1912347712936,0.44085010909823674,4135319.4090772257
3,Australia,AUS,Australia and New Zealand,Australia and New Zealand,504,279153.48247130687,277552.749,151426,0.5424471106698965,0.5455755727355451,781.209119883368,0.09146709444556811,46.442347725949745,3.927140493588536,30101.505214905806
4,Austria,AUT,Europe,Europe,20,2302.171225569844,2302.171,7238,3.143988561584257,3.14398886963653,0.18036457155968455,0.004093253588770358,0.05894403895265557,0.01848837264599859,0.005775640556781114
5,Azerbaijan,AZE,Western Asia,Asia,6,2805.76748751297,2801.283,69,0.024592201708474974,0.024631570605326204,4.683495906255236,0.3566839159319489,2.161611486311324,1.4446546367467867,5.065845843004471
6,Belize,BLZ,Latin America and the Caribbean,Latin America and the Caribbean,4,1143.9092991792022,1103.073,47,0.04108717363668978,0.042608240796393346,1.0489838476278441,0.8777464449076431,0.9633651462677436,0.9633651462677436,0.01466112404518016
7,Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,Latin America and the Caribbean,1,3303.20816002385,3303.208,146,0.04419945487145619,0.04419945701269796,5.213485102373157,0.0018633715943022473,1.615802566924258,0.6239308968647861,5.841456632918177
8,Bosnia and Herzegovina,BIH,Europe,Europe,2,199.7240900374384,199.72400000000002,182,0.9112571245956559,0.9112575353988503,0.04419945487145619,0.04419945487145619,0.04419945487145619,0.04419945487145619,
9,Bulgaria,BGR,Europe,Europe,3,1901.811288901411,1901.811,3275,1.722042570213061,1.722042831806105,81.86040624779146,8.202974107261495e-05,4.123331412649004,0.6921245622974682,144.8702588512686
10,Cambodia,KHM,South-eastern Asia,Asia,5,2713.680330112402,2677.822,2066,0.7613276984302809,0.7715225283831412,16.981407299383022,0.0009480051704518419,1.1705770640279807,0.14679029889627815,8.66520644173788
11,Cameroon,CMR,Sub-Saharan Africa,Africa,9,17713.051372162434,15538.706999999999,265,0.014960719891349157,0.01705418604006112,0.2748888794034129,0.1443956621523238,0.20964227077786834,0.20964227077786834,0.008514239874269967
12,Canada,CAN,Northern America,Northern America,49,303117.6297745043,295237.29400000005,101657,0.3353714532395388,0.34432303122247143,0.19466906349549407,0.000756714806377797,0.030784487434854593,0.008475641134701447,0.003862795336989827
13,Chad,TCD,Sub-Saharan Africa,Africa,1,3061.7051375316,3061.705,390,0.12737999986322157,0.12738000558512333,7.988177358627576,0.006824987556965692,2.02465638670704,0.05181160032180877,15.807733506106347
14,Chile,CHL,Latin America and the Caribbean,Latin America and the Caribbean,39,129401.75345274944,121349.47800000002,21808,0.16852940101745303,0.17971235113182768,0.01058767920242878,0.00038695564494079405,0.004144115038564134,0.0014577102683228274,3.1426268216254024e-05
15,Congo,COG,Sub-Saharan Africa,Africa,3,22979.75902036378,21782.298000000003,153,0.006658033265902278,0.007024052283188853,30.740791567591486,0.01668028585815781,4.481754620960809,1.1259649600406032,59.59103859723565
16,"Congo, Democratic Republic of the",COD,Sub-Saharan Africa,Africa,4,19671.35224309785,19671.352,1118,0.05683391696634767,0.056833917668699135,5.908979718587739,0.0030619558826664233,0.6451072733996012,0.04765260375208981,2.8030704421195414
17,Costa Rica,CRI,Latin America and the Caribbean,Latin America and the Caribbean,28,10123.728136521104,6377.453,15468,1.5278956320645913,2.425419677730279,26.30861612852933,2.480430092254726,9.95563638800623,5.516749665620431,120.92693188114005
18,Croatia,HRV,Europe,Europe,8,979.7641880690026,777.758,12526,12.784708966233232,16.10526667678121,15.539426579725797,1.4420951779165196,8.866785198806049,9.242809518790938,41.33222543988851
19,Cuba,CUB,Latin America and the Caribbean,Latin America and the Caribbean,12,9184.145325164176,5081.34,1236,0.13457975197903407,0.24324292411056925,57.73529127018796,0.4212886435321975,9.78995362776156,2.2497498045466804,261.6582138361069
