,Country,NAME,GIS_AREA,Land_area,ISO3,region_remastered,region_bigger,Number_of_parks,Number_of_posts,post_density_total,post_density_land
0,Algeria,National park of Theniet el had Algeria,33.3520978016006,33.352,DZA,Northern Africa,Africa,1,4,0.11993248592021208,0.11993283761093788
1,Algeria,Parc National d'El-Kala,810.925517384208,800.266,DZA,Northern Africa,Africa,1,9,0.011098429889136039,0.011246260618344401
2,Algeria,Parc National de Djurdjura,164.1276898735,164.128,DZA,Northern Africa,Africa,1,195,1.1880993399120805,1.1880970949502827
3,American Samoa,Not Reported,43.4121884274241,23.501,ASM,Oceania,Oceania,1,118,2.7181306511942096,5.021062933492192
4,Argentina,Aconquija,495.151519093301,495.152,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,1,0.002019583827251817,0.0020195818657705107
5,Argentina,Calilegua,778.763059172893,778.763,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,25,0.03210219039736161,0.03210219283658828
6,Argentina,Chaco,149.904693380491,149.905,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,11,0.07337995730446935,0.07337980721123379
7,Argentina,Ciervo de los Pantanos,55.7277308515804,55.728,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,44,0.7895530524504066,0.7895492391616422
8,Argentina,Copo,1185.91621173086,1185.916,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,4,0.0033729195709045487,0.0033729201730982633
9,Argentina,El Impenetrable,1283.93993094399,1283.94,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,1,0.0007788526362481544,0.0007788525943579918
10,Argentina,El Leoncito,903.77533222284,903.775,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,82,0.09073051352078905,0.09073054687283892
11,Argentina,El Palmar,82.4523297266381,82.452,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,73,0.885360064925075,0.88536360549168
12,Argentina,El Rey,403.669363738655,403.669,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,2,0.0049545498857695,0.0049545543502225835
13,Argentina,Iberá - Núcleo Carambola,103.500800650766,103.501,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,3,0.028985283023294152,0.0289852271958725
14,Argentina,Iberá - Núcleo San Nicolás/San Alonso,1083.79537000397,1083.795,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,1,0.0009226834028607605,0.0009226837178617727
15,Argentina,Iberá - Rincón del Socorro/Iberá,150.364463381951,150.364,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,17,0.1130586284660701,0.11305897688276449
16,Argentina,Iguazú,515.289021528098,515.289,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,12913,25.05972271970066,25.05972376666298
17,Argentina,Lago Puelo,190.65578742416,190.656,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,27,0.14161647209760256,0.14161631419939577
18,Argentina,Laguna Blanca,77.5473476875842,77.547,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,8,0.10316278039875305,0.10316324293654171
19,Argentina,Lanín,2185.22866568711,2185.229,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,288,0.13179398775159443,0.1317939675887516
20,Argentina,Lihué Calel,326.007153500219,326.007,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,10,0.030674173534640806,0.030674187977558765
21,Argentina,Los Alerces,1885.69215036476,1885.692,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,95,0.05037937925425612,0.05037938327149927
22,Argentina,Los Arrayanes,17.8843539085587,17.884,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,191,10.679726031847055,10.679937374189219
23,Argentina,Los Cardones,649.467279400848,649.467,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,232,0.3572158403638542,0.35721599403818827
24,Argentina,Los Glaciares,5362.49805176329,5362.498,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,8818,1.644382881798992,1.6443828976719432
25,Argentina,Mburucuyá,177.854204842223,177.854,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,2,0.011245165678113872,0.011245178629662532
26,Argentina,Monte León,561.97125515877,548.355,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,26,0.04626571156678538,0.04741453985100893
27,Argentina,Nahuel Huapi,4787.54490210996,4787.545,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,1836,0.38349509770463786,0.3834950898633851
28,Argentina,Patagonia,523.969374463272,523.969,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,4,0.007634033962571572,0.007634039418362536
29,Argentina,Perito Moreno,952.428507777048,952.429,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,2,0.0020998951455873218,0.0020998940603446556
30,Argentina,Pre-Delta,26.8131299349324,26.813,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,87,3.2446790140175157,3.2446947376272703
31,Argentina,Quebrada del Condorito,246.532863271646,246.533,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,65,0.26365653299689606,0.26365638677175063
32,Argentina,Río Pilcomayo,510.507218476965,510.507,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,4,0.00783534464396704,0.00783534799718711
33,Argentina,Sierra de las Quijadas,739.709835922642,739.71,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,25,0.03379703606187342,0.03379702856524854
34,Argentina,Talampaya,2140.16420830932,2140.164,ARG,Latin America and the Caribbean,Latin America and the Caribbean,1,131,0.06121025643330749,0.06121026239110647
35,Australia,Abercrombie River,193.89245066524,193.892,AUS,Australia and New Zealand,Australia and New Zealand,1,11,0.05673248216864186,0.05673261403255421
36,Australia,Adelaide International Bird Sanctuary National Park - Winaityinaityi Pangkara,147.9310255766,56.785,AUS,Australia and New Zealand,Australia and New Zealand,1,83,0.5610722948515073,1.4616536057057323
37,Australia,Albinia,73.7813748923743,73.781,AUS,Australia and New Zealand,Australia and New Zealand,1,1,0.01355355604932425,0.013553624916984046
38,Australia,Alpine,6635.35741916097,6635.357,AUS,Australia and New Zealand,Australia and New Zealand,1,3502,0.5277786528706425,0.527778686210855
39,Australia,Arakoon,1.46737548108239,1.441,AUS,Australia and New Zealand,Australia and New Zealand,1,498,339.3814374168614,345.59333795975016
40,Australia,Arakwal,2.00134822867938,1.966,AUS,Australia and New Zealand,Australia and New Zealand,1,80,39.97305359137286,40.691759918616484
41,Australia,Astrebla Downs,1749.5716287742,1749.572,AUS,Australia and New Zealand,Australia and New Zealand,1,10,0.005715684819950062,0.005715683607190787
42,Australia,Auburn River,4.1121715841753,4.112,AUS,Australia and New Zealand,Australia and New Zealand,1,3,0.72954154236773,0.7295719844357976
